,Unnamed: 0,Player Nametag,Task 1 Payoff,Task 2 Payoff,Selected As Team,Total Payoff
220,,Gloria,0.0,1.0,0.0,1.0
221,,Gloria,0.0,1.0,0.0,1.0
222,,Gloria,0.0,1.0,0.0,1.0
223,,,,,,
224,,Gloria,0.0,1.0,0.0,1.0
225,,Gloria,0.0,1.0,1.0,1.5
226,,Gloria,0.0,1.0,1.0,1.5
227,,Gloria,0.0,1.0,0.0,1.0
228,,Gloria,0.0,1.0,0.0,1.0
229,,Gloria,0.0,1.0,0.0,1.0
230,,Gloria,0.0,1.0,0.0,1.0
231,,,,,,
232,   Selector (gus3),,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,   Selector (gus5),,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,   Selector (gus9),,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,   Selector (gus12),,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,Isaac,0.0,1.0,0.0,1.0
267,,Isaac,0.0,1.0,0.0,1.0
268,,Isaac,0.0,1.0,0.0,1.0
269,,Isaac,0.0,1.0,0.0,1.0
270,,Isaac,0.0,1.0,0.0,1.0
271,,Isaac,0.0,1.0,0.0,1.0
272,,Isaac,0.0,1.0,0.0,1.0
273,,,,,,
274,,Isaac,0.0,1.0,0.0,1.0
275,,Isaac,0.0,1.0,0.0,1.0
276,,Isaac,0.0,1.0,0.0,1.0
277,,Isaac,0.0,1.0,0.0,1.0
278,,Isaac,0.0,1.0,0.0,1.0
279,,Isaac,0.0,1.0,0.0,1.0
280,,Isaac,0.0,1.0,0.0,1.0
281,,,,,,
282,,Isaac,0.0,1.0,1.0,0.75
283,,Isaac,0.0,1.0,1.0,0.75
284,,Isaac,0.0,1.0,1.0,0.75
285,,Isaac,0.0,1.0,1.0,0.75
286,,Isaac,0.0,1.0,1.0,2.25
287,,Isaac,0.0,1.0,1.0,2.25
288,,Isaac,0.0,1.0,1.0,0.75
289,,,,,,
290,,Isaac,0.0,1.0,0.0,1.0
291,,Isaac,0.0,1.0,0.0,1.0
292,,Isaac,0.0,1.0,0.0,1.0
293,,Isaac,0.0,1.0,0.0,1.0
294,,Isaac,0.0,1.0,0.0,1.0
295,,Isaac,0.0,1.0,0.0,1.0
296,,Isaac,0.0,1.0,0.0,1.0
297,,,,,,
298,,,,,,
299,,Jane,0.0,0.0,0.0,0.0
300,,Jane,0.0,0.0,0.0,0.0
301,,Jane,0.0,0.0,0.0,0.0
302,,Jane,0.0,0.0,0.0,0.0
303,,Jane,0.0,0.0,0.0,0.0
304,,Jane,0.0,0.0,0.0,0.0
305,,Jane,0.0,0.0,0.0,0.0
306,,,,,,
307,,Jane,0.0,0.0,0.0,0.0
308,,Jane,0.0,0.0,0.0,0.0
